Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Shaun Alexander*+,SEA,28,RB,16,16,370,1880,27,109,88,5.1,117.5,5
Edgerrin James*,IND,27,RB,15,15,360,1506,13,97,33,4.2,100.4,2
Tiki Barber*+,NYG,30,RB,16,16,357,1860,9,74,95,5.2,116.3,1
Clinton Portis,WAS,24,RB,16,16,352,1516,11,76,47,4.3,94.8,3
LaDainian Tomlinson*,SDG,26,RB,16,16,339,1462,18,72,62,4.3,91.4,3
Rudi Johnson,CIN,26,RB,16,14,337,1458,12,80,33,4.3,91.1,1
Larry Johnson*,KAN,26,RB,16,9,336,1750,20,99,49,5.2,109.4,5
Willis McGahee,BUF,24,RB,16,15,325,1247,5,71,27,3.8,77.9,1
Thomas Jones,CHI,27,RB,15,15,314,1335,9,63,42,4.3,89.0,2
Reuben Droughns,CLE,27,RB,16,16,309,1232,2,61,75,4.0,77.0,6
Cadillac Williams,TAM,23,RB,14,14,290,1178,6,59,71,4.1,84.1,3
Warrick Dunn*,ATL,30,RB,16,16,280,1416,3,67,65,5.1,88.5,3
LaMont Jordan,OAK,27,RB,14,14,272,1025,9,62,26,3.8,73.2,2
Jamal Lewis,BAL,26,RB,15,15,269,906,3,49,25,3.4,60.4,5
Julius Jones,DAL,24,RB,13,12,257,993,5,48,51,3.9,76.4,4
Willie Parker,PIT,25,RB,15,15,255,1202,4,48,80,4.7,80.1,4
Steven Jackson,STL,22,RB,15,15,254,1046,8,50,51,4.1,69.7,3
Mike Anderson,DEN,32,RB,15,15,239,1014,12,61,44,4.2,67.6,2
Domanick Williams,HOU,25,RB,11,11,230,976,2,39,44,4.2,88.7,2
Chris Brown,TEN,24,RB,15,14,224,851,5,37,38,3.8,56.7,4
Curtis Martin,NYJ,32,RB,12,12,220,735,5,37,49,3.3,61.3,2
Corey Dillon,NWE,31,RB,12,10,209,733,12,51,29,3.5,61.1,1
Ronnie Brown,MIA,24,RB,15,14,207,907,4,42,65,4.4,60.5,4
DeShaun Foster,CAR,25,RB,15,5,205,879,2,38,70,4.3,58.6,2
Fred Taylor,JAX,29,RB,11,11,194,787,3,29,71,4.1,71.5,0
Kevin Jones,DET,23,RB,13,13,186,664,5,29,40,3.6,51.1,2
Kevan Barlow,SFO,26,RB,12,12,176,581,3,20,29,3.3,48.4,2
Antowain Smith,NOR,33,RB,16,7,166,659,3,23,42,4.0,41.2,2
Marcel Shipp,ARI,27,RB,15,11,157,451,0,23,19,2.9,30.1,4
Brian Westbrook,PHI,26,RB,12,12,156,617,3,29,31,4.0,51.4,0
Mewelde Moore,MIN,23,RB,16,8,155,662,1,33,33,4.3,41.4,2
Greg Jones,JAX,24,FB,14,13,151,575,4,32,27,3.8,41.1,0
Samkon Gado,GNB,23,RB,8,5,143,582,6,32,64,4.1,72.8,4
Michael Vick*,ATL,25,QB,15,15,102,597,6,43,32,5.9,39.8,11
Zack Crockett,OAK,33,FB,16,10,60,208,1,11,24,3.5,13.0,1
David Carr,HOU,26,QB,16,16,56,308,1,20,20,5.5,19.3,17
